gen     nevals  Avg     Std     Min     Max
0       10      2.3     1.34536 1       5  
1       9       1.4     0.663325        0       2  
2       4       0.9     0.830662        0       2  
3       5       0.3     0.640312        0       2  
4       7       0.2     0.6             0       2  
5       7       0       0               0       0  
6       7       0       0               0       0  
7       7       0       0               0       0  
8       8       0       0               0       0  
9       4       0       0               0       0  
10      3       0       0               0       0  
11      5       0       0               0       0  
12      6       0.1     0.3             0       1  
13      3       0       0               0       0  
14      4       0       0               0       0  
15      4       0       0               0       0  
16      6       0       0               0       0  
17      5       0.1     0.3             0       1  
18      6       0       0               0       0  
19      7       0       0               0       0  
20      3       0       0               0       0  
21      9       0       0               0       0  
22      8       0       0               0       0  
23      9       0.1     0.3             0       1  
24      2       0.1     0.3             0       1
25      4       0       0               0       0
26      4       0       0               0       0
27      2       0       0               0       0
28      6       0       0               0       0
29      5       0.3     0.640312        0       2
30      3       0.1     0.3             0       1
31      7       0       0               0       0  
32      6       0       0               0       0
33      6       0.1     0.3             0       1
34      6       0       0               0       0
35      10      0.1     0.3             0       1
36      6       0       0               0       0
37      2       0       0               0       0
38      3       0.2     0.6             0       2
39      6       0.1     0.3             0       1  
40      6       0       0               0       0
41      5       0       0               0       0
42      6       0       0               0       0
43      4       0       0               0       0
44      9       0.1     0.3             0       1
45      2       0       0               0       0
46      3       0.1     0.3             0       1
47      5       0.1     0.3             0       1
48      9       0       0               0       0  
49      6       0       0               0       0
50      5       0.2     0.6             0       2
51      8       0.2     0.4             0       1
52      7       0       0               0       0
53      10      0       0               0       0
54      6       0.1     0.3             0       1
55      4       0.1     0.3             0       1
56      3       0       0               0       0  
57      8       0.1     0.3             0       1
58      4       0.1     0.3             0       1
59      8       0.2     0.4             0       1
60      7       0.1     0.3             0       1
61      4       0.1     0.3             0       1
62      7       0.3     0.640312        0       2
63      4       0       0               0       0
64      9       0       0               0       0
65      5       0       0               0       0
66      8       0.1     0.3             0       1  
67      6       0       0               0       0
68      5       0       0               0       0
69      0       0       0               0       0
70      2       0.1     0.3             0       1
71      1       0.1     0.3             0       1
72      6       0       0               0       0
73      3       0.2     0.6             0       2
74      4       0       0               0       0
75      5       0       0               0       0  
76      5       0       0               0       0
77      7       0       0               0       0
78      3       0       0               0       0
79      7       0       0               0       0
80      6       0.2     0.6             0       2
81      4       0.2     0.4             0       1
82      5       0.4     0.663325        0       2
83      2       0.1     0.3             0       1
84      6       0       0               0       0
85      6       0.1     0.3             0       1
86      6       0       0               0       0  
87      6       0.3     0.640312        0       2
88      6       0       0               0       0
89      2       0       0               0       0
90      3       0.1     0.3             0       1
91      5       0       0               0       0
92      6       0       0               0       0
93      4       0       0               0       0  
94      4       0.1     0.3             0       1
95      10      0.2     0.6             0       2
96      4       0.1     0.3             0       1
97      7       0       0               0       0
98      5       0       0               0       0
99      6       0       0               0       0
100     8       0.1     0.3             0       1

Mínimo da função: 0.0
